plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
STLRS 18,FAVORITE FOOTBALL TEAM,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
69 CRGR,1969 DODGE CHARGER,Vehicle Related,8,Vehicle Related,0,3,3
HDL BOSS,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
SWT INDO,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN,Gang and Drug References,0,Personal Names and Sentimental Values,5,0,6
CUBBLUE,CHICAGO CUBS COLOR BLUE,Vehicle Related,3,Area Codes and Regional Pride,7,3,2
TECH9RT,ITS THE BAND TECH 9 AND MODEL OF THE CAR,Vehicle Related,8,Vehicle Related,0,3,3
$SMYCAT,MY DAUGHTER LOVES HER CAT. SHE ALSO LOVES HER DOG BUT THAT WAS NOT AVAILABLE.,Cats and Pets,7,Cats and Pets,6,7,7
BBW4G$D,BIG BEAUTIFUL WOMAN FOR GOD,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
HLNAUSS,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOGS BREED),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
UBSALTY,SALTY IS A FUNNY WAY OF SAYING THEYRE KIND OF UPSET AND I CHOSE THIS PLATE BECAUSE PEOPLE ARE ALWAYS SURPRISED ABOUT HOW YOUNG I AM AND THE CAR I HAVE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BGHRM88,BIG HERMAN (WHICH IS ME) 88 IS LUCKY CHINESE NUMBER,Personal Names and Sentimental Values,6,Area Codes and Regional Pride,7,6,2
H BULLYS,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
HEMI 831,HEMI V8 AND MY LOCAL AREA CODE,Area Codes and Regional Pride,9,Vehicle Related,0,2,3
I 707 I,707 HORSE POWER,Vehicle Related,8,Sexual References,4,3,5
JAF AMF,OWNERS INITIALS,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BGD W211,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,Vehicle Related,8,Vehicle Related,0,3,3
BRTHJKY,BIRTH JUNKY MEANS I LOVE BIRTH,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
IMTRIPN,I AM TRIPPING,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HII H8TR,HI Hitlier,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
WYERD SS,MY LAST NAME IS WYER.(WYER) I GO BY MY MIDDLE NAME DIANE.(D) THE CAR IS A CAMARO SUPER SPORT.(SS),Vehicle Related,8,Vehicle Related,0,3,3
14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,Vehicle Related,8,Vehicle Related,0,3,3
