,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
970,DUBAGNT,"I'M A WARRIOR FAN, NICKNAME THE DUBS. I'M  ALSO A REAL ESTATE AGENT.",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
971,ELJUMBO,ITS A BIG CAR LIKE JUMBO THE ELEPHANT,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
972,FATMAC5,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
973,FITLINE,"SIMILAR TO FAT LINE, COULD BE A DRUG REFERENCE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
974,GAM114A,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
975,GREBEL,"G IS FOR GERULA, REBEL IS THE MODEL OF RAM  TRUCK",Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
976,G1111,MY FIRST INITIAL AND 11:11 MEANS MAKE A WISH,Business and University Identities,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
977,HB2RIVR,HUNTINGTON BEACH TO THE RIVER,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
978,HEMPIT,"I HAVE A ECOMMERCE BUSINESS CALLED  HEMPITMANUSA.COM 100% PURE OILS, BALMS & SUNSCREENS",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
979,HIYAYA,HI GRANDMA,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
980,HOTROD3,THE REASON IM HOPING TO GET THIS  CUSTOMIZED PLATE IS BECAUSE ITS MY  NICKNAME. MY FRIENDS AND FAMILY CALL ME THAT. I THOUGHT ITD BE NEAT TO GET IT IN MY VEHICLE.,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
981,ILOAN4U,LOAN OFFICER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
982,IMLOCO,NO MEANING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
983,JOCHOS,"JOCHOS IS ANOTHER WORD FOR HOTDOG OR WEINER, COULD BE SEXUAL",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
984,KLMNJRO,MOUNT KILIMANJARO IN EAST AFRICA. THE  ROOF OF AFRICA,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
985,KNURD,"NURD, OFFENSIVE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
986,LUVDEE,LOVE DELAYNA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
987,LUVLTHO,LOVE LAKE TAHOE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
988,LYFCOCH,IM A CERTIFIED LIFE COACH THAT WORKS WITH  VETERANS DEALING WITH PTSD AND SUICIDE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
989,MD666,LUCKY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
990,MR4SPD,MR 4 SPEED TRANS,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
991,RDKNIGT,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
992,SWTWAGN,SWEET WAGON,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
993,1962S88,MODEL YEAR- 1962; MAKE OLDSMOBILE; MODEL  NAME - SUPER-88.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
994,1969LS7,1969 CHEVELLE WITH LS7 ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
995,3583,SPELLS DUKE ON A TELEPHONE DAIL PAD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
996,66888,HAPPY AND RICH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
997,86C4,1986 CORVETTE C4,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
998,9598,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
999,DUCTALE,"TALE, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1000,KFN8ME,CAFFEINATE ME - I DRINK A TON OF DIET COKE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1001,ILUCYG,I LOVE LUCY GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1002,MUGSYD,MY WIFE'S NICKNAME FOR ME,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1003,TIFFCAT,MY NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1004,BABIBLU,COLOR OF CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1005,JTTANKR,"TANK, WEAPON REFERENCE",Business and University Identities,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1006,KABLUEY,ITS FOR A BLUE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1007,REDZGTI,NICKNAME AND MODEL OF VEHICLE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1008,GERICAT,NAME OF CAT THAT I OWN.,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
1009,WHLTAIL,"TAIL, ANOTHER WORD FOR ASS, SEXUAL REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1010,BCME MHR,HIGH SCHOOL INITIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1011,BEIJO BB,MY ONLINE BIKINI STORE NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1012,BLK323I,BLACK 323I BMW,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
1013,E ZILLA,ELECTRIC CAR HUNGRY FOR ELECTRICITY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1014,HOMBOYS,CLOSE FRIENDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1015,HOMBOYZ,FRIENDS AND CLOSE FAMILY,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1016,PHATMN1,FAMILY NICKNAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1017,18HR DYS,I WORK A LOT OF 18 HOUR DAYS IN THE FILM BUSINESS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1018,ABLUBNZ,BLUE MERCEDES BENZ,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1019,BCHBROD,BEACH BROAD. GROUP OF LADIES THAT WALKS THE BEACH!,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1020,BLU BLU,"DAVID BOWIE LYRIC, SONG ""SOUND AND VISION"" - BLUE BLUE ELECTRIC BLUE",Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1021,JAMZ 69,MY INITIALS AND YEAR OF TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1022,L78 69,MODEL AND YEAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1023,ZORRA 69,ITS A NICKNAME AND THE 69 IS THE YEAR OF THE CAR,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1024,31HYBOY,1931 HIGH BOY ROADSTER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
1026,REDSPD,MY CAR IS A RED MAZDASPEED 3,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1027,W3H774M,"MATTHEW"" BACKWARDS",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1028,GOT KUSH,***THIS IS A DUPLICATE*** ONLY SAY NO IF YOU WANT TO DO A RECALL ON THIS. HAS BEEN OUT SINCE 2011. KUSH=WEED,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
1029,LCONCHO,"""HOMETOWN""  (FROM ORIGINAL T00)",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1030,CIREZD,MUSIC RELATED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1031,DMCS69,MY INITIALS AND THE YEAR OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1032,HNYBUNE,HONEY BUNNY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1033,MTNRED1,MOUNTAIN RED TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1034,1969MC1,CAR IS MADE 1969 MUSTANG MACH 1,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1035,69K5JB,IT GOES ON A 1969 K5 BLAZER AND MY INITIALS  ARE JB,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1036,MNGRL,MINNESOTA GIRL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1037,G WIZZ,G AS IN GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
1038,MADFITT,OWNER'S BRAND NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
1039,SKARLTT,GRAND DAUGHTERS FIRST NAME SCARLETTE,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1040,CHOPER 8,COULD HAVE SEXUAL CONNOTATION,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1041,C MADBALL,MY NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1042,CRS WYF,CRAIG 'S WIFE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
1043,FLACOHP,PARENTS NICKNAME FOR ME AND THE H IS HERREJON AND P FOR PEREZ MY LAST NAMES,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
1044,LHELYES,MY FIRST INITIAL AND LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
1045,LYNN G,LYNN IS MY NICKNAME AND G IS FOR GRUNDY MY LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
