plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
XILRATD,EXHILARATED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
AG62,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
BDELIC,ANIMATION IN PRODUCTION,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BUSTED,ARRESTED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
B4ULOL,BEFORE YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CHEFFIN,"WAY OF LIFE BEIING A CHEF, TO COOK FOOD AND HAVING FUN DOING IT",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CHSTHS,"CHASE THIS, *MY NAME IS CHASE",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DMSDYD,DOOMSDAY DEFENSE OF THE DALLAS COWBOYS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
EMTANK,EM= EARLY MORNING TANK= COLOR AND NAME OF JEEP,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
EVOFITG,BIZ NAME AND MY INITIAL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FEEVOX,FINAL EDITION MITSUBISHI EVOLUTION TEN,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GNTSFN2,SF GIANTS FAN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JOHANG,THE NAME OF MY SON,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
MEMOSG,OWNER'S NICK NAME AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RAMMA,LOS ANGELES RAMS MOM,Business and University Identities,Area code and Numbers,Area code and Numbers,Personal and Family names,Area code and Numbers
X69C1OX,1969 CHEVY C10 PICKUP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
38OSL83,CAR IS A 1983 380SL,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
SHNKWA,NAME OF MY DOG IS SHANIKWA.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
2HRD2L,TO HARD TO HANDLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BBKATE,BABY KATE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FEEQUUS,FE = IRON; EQUUS = HORSE; IRON HORSE =  MOTORCYCLE;,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
IBLDBLU,DODGERS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
DRRNBOW,DOCTOR RAINBOW,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
EVIL 2,NAME FOR MY CUSTOM DUNE BUGGY.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Diverse Personal Expressions
LJ BLUE,"LJ IS MY GITL FRIEND'S NAME, BLUE IS HER FAVORITE COLOR",Diverse Personal Expressions,Personal and Family names,Personal and Family names,Pet and Animal Themes,Personal and Family names
POTUS 1,"""PRESIDENT OF THE UNITED STATES""",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PPP CBH,FAMILY INITIALS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
TWO2RED,I RIDE A RED DIRT BIKE AND THE VAN WILL BE RED ALSO,Colors and Descriptive Traits,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
V8 CAT,V8 CAT,Pet and Animal Themes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
2 NVRDUI,PROMISE TO NVR DUI,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions
9O S13,YEAR AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLEUDOG,THE NAME OF ONE OF OUR DOGS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
JAZZCAT,LOVER OF JAZZ MUSIC AND PET CATS,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
AKANUGE,NUGE REFERES TO TED NUGENT WHO IS A ROCKER WHO SLEPT WITH A LOT OF WOMAN AND DID A LOT OF DRUGS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CATJES,"CAT, SEXUAL REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
E11913G,"13G AT THE END STANDS OUT, COULD BE GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations
NISSHOT,"SHOT, WEAPON REFERENCE",Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NOV1614,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
REDSAUX,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
VAPOR16,"VAPOR, DRUG REFERENCE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
VRYLOUD,LOUD IS A WORD THAT CAN BE USED TO DESCRIBE STRONG SMELLIN MARIJUNA,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions
WLFCLAN,"CLAN, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
1TIMO4,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
1962,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
1976C2O,LOOK ALIKE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
567,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
67ZBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
73MBLAU,"BLAU IS BLUE IN GERMAN, GANG REFERENCE",Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
ORTOFON,"COULD BE ""OR TO FUCK ON""",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
IRSHRED,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
ALXHUNT,ABBREVIATION FOR ALEXANDRIA AND HUNTER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
BENNNZO,ITS FOR MY MERCEDES BENZ,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUE886,BLUE IS THE COLOR OF MY COLOR AND I LOVE  THIS COLOR,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
DBLNDWN,DOUBLE DOWN AS IN STOCKS,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
EJMAC,MY NICK NAME.,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GCASINI,L CASINI,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
GIGI614,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
HNTDEER,HUNT DEER,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
HOOTROD,HOOT IS A FUN SAYING( THIS IS A HOOT) ROD IS A FUN CAR,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
LALOZSS,NAME AND TYPE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LIZLEEN,LEEN COULD STAND FOR LEAN WHICH IS A NARCOTIC DRINK WITH PROMETHAZINE IN IT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LMNSBLU,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
MOJORSG,NICK NAME FOR JIM MORRISON OF THE DOORS MUSIC GROUP,Business and University Identities,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions
MYBYRD,BIRD CAN BE ANOTHER WORD FOR COCAINE,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes
MY997TT,PORSCHE 997 TWIN TURBO,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
NTNLESS,NOTHING LESS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
NWNWMWM,ITS THE SOUND MY CAR MAKES ON STARTUP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
OOO99,9 IS MY LUCKY NUMBER; THIS IS A COOL  CONFIGURATION THAT LOOKS LIKE LOW PLATE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
PUNN,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PZZABOX,"I OWN A PIZZA PLACE AND MY CAR IS A SCION XB (BOX CAR), THEREFOR IT IS A PIZZA BOX",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RDSTRV8,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
REDROCT,FOR MY RED CAR I CALL THE ROCKET,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
RED7PNY,THE CAR IS A 67 MUSTANG AND THE COLOR IS RED,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
SADLUP,SADDLE UP COULD BE A SEXUAL STATEMENT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SPDEMON,SPD CAN BE A DRUG REFERENCE AND SOME PEOPLE MAY FIND DEMON AS A HOSTILE TERM,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
SWTTPIE,MY CAT'S NAME IS SWEETIE,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
18743,THIS IS MY CHP BADGE NUMBER.,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
2O16CAT,HELLCAT 2016 DODGE CHALLENGER,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
2525,ALL DIGITS,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
