plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
CALLRED,FIRST INITIAL AND LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
CAT LIFT,CAT TRANSPORTATION,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
CB RIDER,COWBOYS FAN,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,
DEL B 1,DEL BONDIO 1,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
DM123AK,DMITRY MARIA ALENA KATERINA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
DNA FLY,INTERNET GAMING HANDLES OF MY WIFE AND I.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DREDFUL,THIS IS THE NAME OF MY FAVORITE TELEVISION SHOW. PENNY DREADFUL. THE PENNY WOULD NOT FIT. I AM PASSIONATE ABOUT THE SHOW. THE NUMBER 1 FAN PERHAPS.,Colors and Descriptive Traits,Diverse Personal Expressions,Area code and Numbers,Colors and Descriptive Traits,Colors and Descriptive Traits
GYACK M4,"FIRST INITIAL, LAST NAME, CAR MODEL",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
HIGHWND,CHARACTER NAME FROM FINAL FANTASY VIDEO GAME FRANCHISE.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HI28OZX,HELLO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JESS913,MY NAME AND BIRTHDAY,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
JMPGC69,FAMILY LOGO,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
KING BRA,IT'S A 2014 SHELBY COBRA AND IT IS KING.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
MRQ9999,MR QUOC 9999,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
N52S43J,MY FIRST NAME INTIALS AND MY FOOTBALL NUMBER US 52 AND LAST NAME STARTS WITH AN S AND MY OTHER FOOTBALL NUMBER WAS 43,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,
ORNARY,ORNARY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
STOK5OH,NOTHINH DONE TO THE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
T D B,NAME OF MY AUTO SHOP TDBCUSTOMS.COM,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
TERRBLT,TERRIBLE T,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1SIC CAT,ONE SICK CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
14COM55,"CAR'S MODEL YEAR, CAMARO, MY INITIALS ,YEAR I WAS BORN.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
14MIATA,2014 MAZDA MIATA,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,
18-Jul-16,WEDDING DATE,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
2X TRBL,BECAUSE ITS A BIG DUALLY TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
ZEES TT,ZENA'S AUDI TT,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LVDEBCH,LOVE THE BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FISH WTR,song title,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RNCH RKT,RANCH ROCKET,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
HYE RLLN,HIGH ROLLIN,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RAD BAGS,nice motorcycle with saddle bags,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
7 FAT BOY,model,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,
DOS CATS,2 cats,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BBPEST,BODEGA BAY RESIDENT,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
GDEADHD,FAN OF GRATEFUL DEAD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GNJWIN,GEORGE AND JONI WIN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GROOVYJ,"J COULD STAND FOR JOINT, GROOVY JOINT",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
JOHN114,THE WORD WAS MADE FLESH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MRWM4T,"MR WILL MODEL FOR TOYS, SOUNDS SEXUAL",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NDFBALL,NOTRE DAME FOOTBALL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NSMO51O,THE PLATE CORRESPONDS TO MY CAR'S MODEL  TRIM AND THE PRODUCTION NUMBER.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
O1JAN14*,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
SPCBAL2,IT'S A CONTINUATION OF THE STARSHIP NAME  SPACEBALL 1 FROM THE MOVIE SPACEBALLS.,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
VBAL4LF,VOLLEYBALL FOR LIFE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WCS2O14,WEST COAST SWING 2014,Business and University Identities,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,
W8882J,(W)THE FIRST LETTER OF MY NAME (88) YEAR OF BIRTHDAY (82) WIFE'S YEAR OF BIRTHDAY,Area code and Numbers,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
YOTHERE,"YOU, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1REDWGN,TO GO ON MY RED FORD EXPLORER (WAGON).,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1518SAP,BADGE NUMBER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
9OOO,"4# PLATE , HAVE ALSO ORDERED 7001",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
HEIDYHO,"HO, INAPPROPRIATE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NVRLOVD,NEVER LOVED,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
YOULIVE,YOU LIVE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LVCLBCH,LOVE SEAL BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
MIPEARL,"MY CAR IS AS WHITE AS A PEARL. I NICKNAMED  THE CAR ""PEARL""! PEARL IS MY CAR.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
AXLDC,AXL ROSE WITH ACDC,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
BLUGRAS,BLUEGRASS (AS IN BLUEGRASS MUSIC),Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions,Colors and Descriptive Traits,
CDRED67,CODE RED 67. THE NAME OF MY CARS  INSTAGRAM ACCOUNT. @CODERED_67,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
DUBSOX,FAN OF CHICAGO WHITE SOX,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
FUSSY73,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GBAPUG,"G, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
JUNEBLU,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KATVAL,MY DAUGHTERS NAMES,Personal and Family names,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
REDDESS,MOST RED,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
REDSMBL,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
SUPRB69,1969 SUPER BEE,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
TONZ69,TONY'S 1969 CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
TURBOGS,THE CAR IS A BUICK REGAL GS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2236,"FAVORITE NUMBERS TOGETHER, NO ADDITIONAL MEANING",Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
CATWHO,"CAT, SEXUAL REFERENCE",Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
PASTA4U,"YOU, HOSTILE",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SHELSSS,ABBREVIATED NAME: SHELLIE'S SUPER SPORT  VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
CHAPI19,CAR NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CHENTE9,CAR NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
JP4 PLAY,JEEP FOR PLAY,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
K14PONY,2014 MUSTANG,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
REDSRED,REDS HEAD RED VEHICLE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
YO HEFE,I BOSS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
C$TLADI,CAT LADY,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BE RED,THE COLOR OF MY CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,
ASWNAVY,ANTI SUBMARINE WARFARE NAVY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
BECH LIF,BEACH LIFE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LTENCHA,WIFE'S NICKNAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CCS9999,FAMILY NAME INITIALS AND GOOD LUCK,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
